id,date,store_nbr,item_nbr,unit_sales,onpromotion
0,2013-01-01,25,103665,7.0,
1,2013-01-01,25,105574,1.0,
2,2013-01-01,25,105575,2.0,
3,2013-01-01,25,108079,1.0,
4,2013-01-01,25,108701,1.0,
5,2013-01-01,25,108786,3.0,
6,2013-01-01,25,108797,1.0,
7,2013-01-01,25,108952,1.0,
8,2013-01-01,25,111397,13.0,
9,2013-01-01,25,114790,3.0,
10,2013-01-01,25,114800,1.0,
11,2013-01-01,25,115267,1.0,
12,2013-01-01,25,115611,1.0,
13,2013-01-01,25,115693,1.0,
14,2013-01-01,25,115720,5.0,
15,2013-01-01,25,115850,1.0,
16,2013-01-01,25,115891,6.0,
17,2013-01-01,25,115892,10.0,
18,2013-01-01,25,115894,5.0,
19,2013-01-01,25,119024,1.0,
20,2013-01-01,25,119026,1.0,
21,2013-01-01,25,119141,1.0,
22,2013-01-01,25,119187,1.0,
23,2013-01-01,25,119624,4.0,
24,2013-01-01,25,123927,1.0,
25,2013-01-01,25,129635,11.0,
26,2013-01-01,25,153239,3.0,
27,2013-01-01,25,153267,9.0,
28,2013-01-01,25,153395,7.0,
29,2013-01-01,25,155607,2.0,
30,2013-01-01,25,158680,1.0,
31,2013-01-01,25,158788,4.0,
32,2013-01-01,25,158842,9.0,
33,2013-01-01,25,158875,1.0,
34,2013-01-01,25,158956,5.0,
35,2013-01-01,25,159156,29.904,
36,2013-01-01,25,162066,2.0,
37,2013-01-01,25,164036,1.0,
38,2013-01-01,25,164088,3.0,
39,2013-01-01,25,165550,10.0,
40,2013-01-01,25,165551,1.0,
41,2013-01-01,25,165553,9.0,
42,2013-01-01,25,165594,4.0,
43,2013-01-01,25,165704,4.0,
44,2013-01-01,25,165705,15.0,
45,2013-01-01,25,165718,2.0,
46,2013-01-01,25,165988,1.0,
47,2013-01-01,25,168927,9.0,
48,2013-01-01,25,169104,1.0,
49,2013-01-01,25,172184,2.0,
50,2013-01-01,25,172343,1.0,
51,2013-01-01,25,173113,2.0,
52,2013-01-01,25,177050,1.0,
53,2013-01-01,25,179600,1.0,
54,2013-01-01,25,205387,1.0,
55,2013-01-01,25,207857,1.0,
56,2013-01-01,25,208384,3.0,
57,2013-01-01,25,208498,3.0,
58,2013-01-01,25,208514,2.0,
59,2013-01-01,25,211203,1.0,
60,2013-01-01,25,214381,5.0,
61,2013-01-01,25,214862,1.0,
62,2013-01-01,25,215331,2.0,
63,2013-01-01,25,215332,1.0,
64,2013-01-01,25,215352,46.0,
65,2013-01-01,25,215356,5.0,
66,2013-01-01,25,215370,2.0,
67,2013-01-01,25,219147,2.0,
68,2013-01-01,25,219150,21.0,
69,2013-01-01,25,220435,4.0,
70,2013-01-01,25,222879,5.0,
71,2013-01-01,25,223434,1.0,
72,2013-01-01,25,224081,6.0,
73,2013-01-01,25,226857,1.0,
74,2013-01-01,25,227111,1.0,
75,2013-01-01,25,246052,1.0,
76,2013-01-01,25,252970,3.0,
77,2013-01-01,25,252972,2.0,
78,2013-01-01,25,253103,2.0,
79,2013-01-01,25,257847,90.0,
80,2013-01-01,25,257848,10.0,
81,2013-01-01,25,258268,6.0,
82,2013-01-01,25,258396,5.0,
83,2013-01-01,25,260893,4.0,
84,2013-01-01,25,261052,1.0,
85,2013-01-01,25,261053,1.0,
86,2013-01-01,25,261700,3.0,
87,2013-01-01,25,262358,1.0,
88,2013-01-01,25,265254,4.0,
89,2013-01-01,25,265257,5.0,
90,2013-01-01,25,265258,5.0,
91,2013-01-01,25,265266,1.0,
92,2013-01-01,25,265559,2.0,
93,2013-01-01,25,268440,1.0,
94,2013-01-01,25,268443,7.0,
95,2013-01-01,25,268664,2.0,
96,2013-01-01,25,268676,3.0,
97,2013-01-01,25,268834,2.0,
98,2013-01-01,25,273528,2.0,
99,2013-01-01,25,275823,1.0,
100,2013-01-01,25,275826,1.0,
101,2013-01-01,25,279494,4.0,
102,2013-01-01,25,302997,4.0,
103,2013-01-01,25,305080,10.0,
104,2013-01-01,25,305081,1.0,
105,2013-01-01,25,305227,2.0,
106,2013-01-01,25,305229,8.0,
107,2013-01-01,25,305344,2.0,
108,2013-01-01,25,308085,9.0,
109,2013-01-01,25,308726,4.0,
110,2013-01-01,25,308916,1.0,
111,2013-01-01,25,310644,8.0,
112,2013-01-01,25,311954,5.0,
113,2013-01-01,25,311994,22.589,
114,2013-01-01,25,312324,1.0,
115,2013-01-01,25,313641,1.0,
116,2013-01-01,25,314384,8.0,
117,2013-01-01,25,314393,2.0,
118,2013-01-01,25,314570,3.0,
119,2013-01-01,25,315176,14.0,
120,2013-01-01,25,315179,4.0,
121,2013-01-01,25,315220,2.0,
122,2013-01-01,25,315277,5.0,
123,2013-01-01,25,315320,1.0,
124,2013-01-01,25,315322,1.0,
125,2013-01-01,25,315460,2.0,
126,2013-01-01,25,315463,14.0,
127,2013-01-01,25,315474,5.0,
128,2013-01-01,25,318787,2.0,
129,2013-01-01,25,318847,3.0,
130,2013-01-01,25,319093,6.0,
131,2013-01-01,25,319094,1.0,
132,2013-01-01,25,320682,1.0,
133,2013-01-01,25,323013,4.0,
134,2013-01-01,25,323227,1.0,
135,2013-01-01,25,323921,1.0,
136,2013-01-01,25,324206,3.0,
137,2013-01-01,25,329362,1.0,
138,2013-01-01,25,329397,2.0,
139,2013-01-01,25,346066,2.0,
140,2013-01-01,25,352513,1.0,
141,2013-01-01,25,355090,1.0,
142,2013-01-01,25,358096,1.0,
143,2013-01-01,25,358100,1.0,
144,2013-01-01,25,358231,3.0,
145,2013-01-01,25,358515,2.0,
146,2013-01-01,25,360314,5.0,
147,2013-01-01,25,361502,4.0,
148,2013-01-01,25,362035,2.0,
149,2013-01-01,25,363868,2.0,
150,2013-01-01,25,364413,1.0,
151,2013-01-01,25,364606,5.0,
152,2013-01-01,25,364738,6.0,
153,2013-01-01,25,364829,1.0,
154,2013-01-01,25,364834,1.0,
155,2013-01-01,25,365138,4.0,
156,2013-01-01,25,368140,15.0,
157,2013-01-01,25,368424,1.0,
158,2013-01-01,25,368624,1.0,
159,2013-01-01,25,368628,47.0,
160,2013-01-01,25,369432,2.0,
161,2013-01-01,25,370042,5.0,
162,2013-01-01,25,371437,1.0,
163,2013-01-01,25,372480,1.0,
164,2013-01-01,25,373152,1.0,
165,2013-01-01,25,374464,7.0,
166,2013-01-01,25,376427,1.0,
167,2013-01-01,25,378685,8.0,
168,2013-01-01,25,402174,8.0,
169,2013-01-01,25,406965,1.0,
170,2013-01-01,25,407769,1.0,
171,2013-01-01,25,410257,1.0,
172,2013-01-01,25,410866,1.0,
173,2013-01-01,25,414305,6.0,
174,2013-01-01,25,414353,4.0,
175,2013-01-01,25,414426,2.0,
176,2013-01-01,25,414478,2.0,
177,2013-01-01,25,414621,26.0,
178,2013-01-01,25,414623,1.0,
179,2013-01-01,25,414750,1.0,
180,2013-01-01,25,414752,1.0,
181,2013-01-01,25,414888,1.0,
182,2013-01-01,25,417765,2.0,
183,2013-01-01,25,417835,1.0,
184,2013-01-01,25,418235,23.0,
185,2013-01-01,25,420720,2.0,
186,2013-01-01,25,422452,1.0,
187,2013-01-01,25,426155,3.0,
188,2013-01-01,25,428488,1.0,
